Query,Category,Folder,Correct Source,answer,metadata
"I suspect a phone number in our client's sub account is going to spam. I was doing bunch of research on how to remediate it and came across couple helpful steps and one of them was:\n\ngetting ""A"" attestation for your phone number and the video mentioned talking to your phone provider ",LC Phone System,Calendar Settings,https://help.gohighlevel.com/support/solutions/articles/48001231665-why-are-my-calls-marked-as-spam-and-how-can-i-avoid-it-lc-phone-,"To address the issue of your phone number being flagged as spam, you can consider the following steps based on the provided context:

1. **SHAKEN/STIR Registration**: This protocol is designed to authenticate caller ID information and verify that it's coming from a legitimate source. It may boost answer rates with a 'Trusted Call' label, which can help in reducing the likelihood of being marked as spam.

2. **Registration Process**: The SHAKEN/STIR approval process typically takes up to 4 days. Once registered, all current and future phone numbers are automatically linked to the SHAKEN/STIR profile.

3. **Contacting Phone Provider**: As mentioned in your query, talking to your phone provider about getting 'A' attestation could be part of the SHAKEN/STIR process, which involves verifying the legitimacy of your phone number.

These steps can help improve the trustworthiness of your phone number and potentially prevent it from being flagged as spam.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001231665-why-are-my-calls-marked-as-spam-and-how-can-i-avoid-it-lc-phone-', 'Category': 'Phone System ', 'Folder': 'Calling '}]"
"I just have a few questions,\nregarding the phone numbers the client has bought..\n1. is the $12 campaign fee payment a monthly payment?\n2. do the numbers we send the text from need to be verified before we can test the leads in the client's subaccount?\n3. how can we record incoming and outgoing calls for the numbers?\n4. the verification for the numbers - how long does it usually take?",LC Phone System,Phone Number,https://help.gohighlevel.com/support/solutions/articles/48001229976-phone-number-settings-explained,"1. The $12 campaign fee is not mentioned in the provided context, but there are references to monthly campaign fees ranging from $1.5 to $11.5 USD based on use case for A2P 10DLC registration.

2. The context does not specify that numbers need to be verified before testing leads in a client's subaccount. However, verification is required for toll-free numbers and A2P 10DLC registration.

3. To record incoming and outgoing calls, you can enable the call recording feature in the phone number settings. Be aware that most states require informing callers that the call will be recorded, typically through a whisper message.

4. Toll-free number verification can take 2-3 weeks to complete, though approvals have been seen in as little as two days in some cases.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001229976-phone-number-settings-explained', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001222300-toll-free-verification-guide-for-lc-phone-us-canada-', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001229783-a2p-10dlc-campaign-vetting-changes-january-2023', 'Category': 'Phone System ', 'Folder': 'A2P registration '}]"
how to provide twilio to users after connecting to lead connector,Phone & Email,--,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account,"I'm sorry, but I don't have relevant information to answer the question about providing Twilio to users after connecting to Lead Connector.",
My client would like to port out their LC phone numbers and they need this info: Business name \nBilling address \nAccount number \nPIN number if availabl,LC Phone System,--,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account,"I'm sorry, but I don't have relevant information to answer your question about porting out LC phone numbers.",
a2p campaign rejection,LC Phone System,--,https://help.gohighlevel.com/support/solutions/articles/155000000508-a2p-10dlc-brand-approval-best-practices,"Common reasons for A2P campaign rejection include:

1. Inconsistent or inaccurate information.
2. Unverifiable websites.
3. Improper opt-in processes.
4. Mismatched sample messages and use cases.
5. Forbidden content such as cannabis or hate speech.

To address these issues, ensure data accuracy, verify consumer consent, and comply with all guidelines before resubmitting the campaign.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001229784-a2p-10dlc-campaign-approval-best-practices', 'Category': 'Phone System ', 'Folder': 'A2P registration '}]"
Switch them from LC Phone to Twilio,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account,"To switch from LC Phone to Twilio, you can follow these steps:

1. **Create a Support Ticket with Twilio**: Use the subject ""Moving numbers request"" and include the phone number(s) to be moved, the losing sub-account SID (from LC Phone), and the gaining sub-account SID (your Twilio account).

2. **CC migration@leadconnectorhq.com**: Ensure this email is included in the CC field for approval.

3. **Submit the Request**: Select ""No"" at the bottom of the form and click ""SUBMIT HELP REQUEST.""

4. **Contact HighLevel Support**: If needed, contact HighLevel support to obtain the correct losing sub-account SID for the ISV location where the number is currently hosted.

5. **Verify Completion**: Once Twilio processes the request, the number will appear in your Twilio account.

These steps ensure a smooth transition of phone numbers from LC Phone to Twilio.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
Porting a number out of High level,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account,"To port a number out of HighLevel, you need to follow these steps:

1. **Obtain the Location ID**: Contact HighLevel support to get the ISV location's Twilio sub-account SID where the number is currently hosted.

2. **Create a Support Ticket with Twilio**: Use the subject ""Moving numbers request"" and include the phone numbers to be moved, the losing sub-account SID (from HighLevel), and the gaining sub-account SID (your own Twilio account).

3. **CC migration@leadconnectorhq.com**: Ensure to CC this email for approval.

4. **Submit the Request**: Select ""No"" at the bottom of the form and click ""SUBMIT HELP REQUEST.""

5. **Request ASAP Processing**: Mention that the transfer is business-critical and request it to be processed as soon as possible.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
I am trying to set up a dedicated domain but I am having great difficulty getting it all resolved,LC Email System,Phone & Email,https://help.gohighlevel.com/en/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record,"To set up a dedicated domain in HighLevel, follow these steps:

1. **Create a Dedicated Sending Domain**:
   - Navigate to Settings > Email settings > Email Services.
   - Click on 'Dedicated domain', add your domain details, and follow the instructions to add DNS records to your domain provider.

2. **Verify DNS Records**:
   - Ensure that the DNS records are correctly added and verified. DNS changes can take up to 24 hours to propagate.

3. **Troubleshooting**:
   - If you encounter issues such as 'Domain already pointing to email server', check your domain's MX and SPF records using a tool like mxtoolbox.com. You may need to remove existing MX or SPF records before adding the domain to HighLevel.

4. **Domain Warming**:
   - It's important to warm up new domains to ensure good deliverability. This involves gradually increasing the volume of emails sent from the domain.

If you continue to experience difficulties, consider checking the FAQ section or troubleshooting steps provided in the HighLevel support articles.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001226115-lc-email-dedicated-sending-domains', 'Category': 'Email ', 'Folder': 'LC Email Dedicated Domain and IP '}]"
there is no validate email button on one of my subaccounts,Contacts,Other,https://help.leadconnectorhq.com/en/support/solutions/articles/155000000623-how-to-enable-lc-email-validation,"I'm sorry, but I don't have relevant information to answer the question about the missing 'validate email' button on a subaccount.",
a sub account needs to transfer their exciting phone number to their new high level account they created on their own,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48001211919-porting-your-telephone-number-non-twilio-number-to-a-location,"To transfer an existing phone number to a new HighLevel account, follow these steps:

1. **Obtain Necessary Information**:
   - Get the Location ID from HighLevel support to identify the ISV account's Account SID.
   - Ensure you have the phone numbers to be moved and the losing sub-account SID (from the client's Twilio account).

2. **Create a Support Ticket with Twilio**:
   - Use the subject line ""Moving numbers request.""
   - Include the phone numbers to be moved, the losing sub-account SID, and the gaining sub-account SID (obtained from HighLevel support).
   - Request ASAP processing due to the business-critical nature of the transfer.

3. **CC the Appropriate Email**:
   - Include migration@leadconnectorhq.com in the CC field for approval.

4. **Submit the Request**:
   - Select the appropriate options for product category and business impact.
   - Submit the help request to Twilio support.

5. **Follow Up**:
   - Once Twilio processes the request, the number will appear in HighLevel under Client Sub-Account > Settings > Phone Numbers.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001240107-moving-numbers-out-of-an-lc-phone-sub-account-to-the-client-s-own-twilio-account', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001177283-move-numbers-from-one-twilio-account-to-another', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001240108-moving-numbers-to-an-lc-phone-sub-account-from-the-client-s-own-twilio-account', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
Domain Issues,LC Email System,,https://help.gohighlevel.com/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record,"To address domain issues, consider the following steps based on the provided context:

1. **DNS Setup and Verification**: Ensure that your DNS records are correctly set up and verified. This includes adding necessary CNAME, TXT, and MX records as required by your service provider (e.g., Mailgun, HighLevel).

2. **Troubleshooting Common Issues**: If you encounter errors such as 404 or SSL issues, check for duplicate A records, confirm DNS propagation, and review DNS settings for accuracy.

3. **Domain Integration**: Make sure your domain is properly integrated within the HighLevel platform, including areas like Whitelabel Domain, API/Branded Domain, and Email Sending Domain.

4. **Use of Subdomains**: When using services like Mailgun, it's recommended to use subdomains to avoid conflicts with existing email services.

5. **Propagation Time**: Be aware that DNS changes can take up to 24-48 hours to propagate.

6. **Platform-Specific Instructions**: Follow specific setup guides for platforms like GoDaddy, Cloudflare, or Google Domains if applicable.

For detailed instructions, refer to the relevant articles and guides provided in the HighLevel support portal.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002561-setting-up-whitelabel-domain-api-domain-email-sending-domain-sites-domain-client-portal-domain-', 'Category': 'Sites ', 'Folder': 'General Setup '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001153720-how-to-set-up-root-domain-subdomain-for-your-funnels-websites-', 'Category': 'Sites ', 'Folder': 'Troubleshooting Funnels '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001188738-lc-email-mailgun-replies-not-working-when-using-wix-as-the-domain-provider', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001151622-how-to-fix-links-in-the-email-that-do-not-open-', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001226115-lc-email-dedicated-sending-domains', 'Category': 'Email ', 'Folder': 'LC Email Dedicated Domain and IP '}]"
